years_in_field,years_in_role,job_title_open,job_category_select,org-type_select,team-size,org-size_bucket,org-uxr-maturity_bucket,desc-of-work_open,reops-member_bucket,org-skill-ladder_bucket,org-reops-supt_bucket,work-towards-goal_bucket,goal-desc_open,goal-desc_tags,craft-important_1,craft-important_2,craft-important_3,craft-desired_1,craft-desired_2,craft-desired_3,craft-write-in_open,h1_biz-strategy_rating,h2_delivery-disciplines_rating,h3_org-diplomacy_rating,h4_service-conceptual_rating,h5_stakeholder-mgmt-comms_rating,h6_project-mgmt_rating,h7_research-process-mgmt_rating,h8_reops-prowess_rating,h9_technical-research-skills_rating,h10_persuation-articulation_rating,h11_interpersonal-relationships_rating,h12_prof-relationships_rating,h13_mindful-work-reflection_rating,biggest-challenge_open,biggest-challenge_tags,explore-excited_open,explore-excited_tags,one-next-step_open,one-next-step_tags,optional-other_open
1,0.5,Junior UX researcher / MA student,researcher,Agency,8,101–500,Mature,"UX research for a range of clients including retail, lifestyle and finance. Using methods like user labs, diary studies, remote testing",No,Yes,No,Yes,Looking to progress into UX after completing my degree in September,Transition to UX,102,105,204,201,601,408,,3,3,2,3,3,4,3,2,4,4,2,2,2,I am a junior so I'm not yet involved in all the steps of research process. I would like to be more involved.,"collaboration,internal",Gaining practical exposure to more search methodologies so that I can assess my strengths/weaknesses,"mindfulness/reflection,methods practice/skills",More networking and exposing myself in the 'ux space'. It's vital for my understanding of how I can move on from here.,"exchange/networking,mindfulness/reflection",I would love if the workshop included more about what skillsets are required/can be leveraged to get into UX
1,1,User experience researcher,researcher,In-house private sector,3,"501–1,000",Early,primarily responsible for qualitative evaluative and formative research across a number of product team,No,No,No,Yes,Formalized mid-weight UX researcher as perceived by company. Acquiring technical competencies and on-job experience to progress.,"learning/mentors,researcher role development",301,305,314,602,604,609,,3,2,4,4,3,3,3,4,4,3,3,2,3,Having confidence in methodology selection with stakeholders and decisions made on scripts. Pushing recommendations more persuasively,"trust/buy-in,stakeholder & expectation mgt",Excited to grow technically and in a new work environment,new job/role,"Evaluate mid-level roles in the market, do practice interviews to determine progression lies internally or a move is imminent","new job/role,mindfulness/reflection",
20,5,Service innovation consultant,designer,Agency,1,2–10,Mature,Product and service strategy consulting fuelled by primary and secondary research,Yes,No,No,Yes,"Better, quicker sense maker copy writing + visualisation + being less of a provocative prick","methods practice/skills,researcher role development",401,105,406,401,601,610,Distil key findings,4,3,3,3,3,3,4,3,3,4,4,5,1,Taking all the information and distilling it properly for right stakeholders,"stakeholder & expectation mgt,communication/storytelling",Communications with video + rhetoric + visuals,communication/storytelling,Practice visualisation skills for my book,graphics/visuals,Very interesting exercises. Feels like some key mentalities are not [illegible] out. You have edited list well and all [illegible] may complicate
1.5,1.5,Schools Experience Associate,designer,In-house private sector,15,101–500,Mature,UX/UI design/interface design/user research - on-site ethno research - ux/ui design on digital products (based on user feedback) - user research to inform development,No,Yes,Yes,Yes,scaling up of insight/qualitative-based work into large-scale quantitative data gathering. Deciphering/reflecting if current qualitative gathering methods are appropriate due to mismatch with existing quantitative data,"methods practice/skills,(product) impact/actionable insight,quant skils",105,601,206,106,601,208,,3,1,2,3,2,3,4,2,2,2,2,2,3,presenting data critical of current product to inform development of next-generation product,(product) impact/actionable insight,large-scale technological upscaling to validate qualitative data,"qualitative methods,misc",attempt to use HEART to start the technological upscaling,"new tech,scaling/expanding the scope,ROI,method practice/skills","[revelation:] need to speek a different ""business"" language for [the biggest challenge described above]"
3,1,UX research/interaction designer,researcher,Agency,4,21–50,Mature,making software human,No,Yes,Yes,Yes,"Being a fulltime employee, now just a workstudent",employment relationship,110,103,308,301,202,503,try to find a way to measure people's level of experience and then make teams,5,2,3,2,3,4,1,3,1,5,2,2,1,convincing the client,"trust/buy-in,stakeholder & expectation mgt,external",being a fulltime researcher!,focus on research,train myself as a facilitator,"workshops/design sprints,method practice/skills",
6,0.5,UX designer,designer,In-house private sector,5,"1,001+",Early,I am a ux designer with focus on ux research + ux strategy. The two later only take up to 50% of my work. I am also still part of a scrum team but will change in the coming month.,No,No,No,Yes,Implementing more research within my organisation/changing the mindset of the organization towards more design driven approach. First steps: user research lab setup - implement digital customer journeys,"Evangelize research,scaling/expanding the scope",403,606,609,404,603,604,,2,4,3,4,4,4,4,3,4,4,4,4,3,to convince of the necessity of it and of our internal skills (normally always trusts on external often not so good agencies),"trust/buy-in,internal",implement usability/research lab - create digital customer journeys together with CEM,"build lab,usability,design thinking/service design","see above, fulfill these goals","usability,service design",
18,10,UX lead/creative leadership,designer,Agency,4,11–20,Mature,"innovation labs, creative leadership & culture, innovation org, research, ideation, market",No,Yes,Yes,Yes,professionalize org in creative culture & leadership,"Evangelize research,training/supporting",604,610,601,604,601,,,4,5,5,4,4,4,4,4,4,4,3,3,4,the politics after the research findings,"trust/buy-in,(product) impact/actionable insight",evangelize the value of research/ux/creativity,evangelize research,"build network, develop program","exchange/networking,misc",
12,2,product developer/manager,other,Public sector,10,101–500,Laggard,"product ideation, conceptualisation & overseeing development & launch. Meanwhile, conducting user research through interviews, surveys, card sorting and other kinds of methods. Products are digital as well as physical.",No,No,No,Yes,Training myself to become a ux research lead or manager/enhance that aspect of my profile,"lead/manager role,expanding professional horizon",408,409,404,602,603,606,,3,2,3,4,3,3,3,2,3,3,3,3,1,selling the worth of face-to-face and field research to our management/budget holders + getting user contact data for recruiting,"trust/buy-in,stakeholder & expectation mgt,participant recruitment",building KPI dashboards and diving deeper into web analytics and quantitative analyses,"ROI,quantitative methods",work on tools and methods that help me with my exploration mentioned above,"method practice/skills,mindfulness/reflection",we should spread the word about research ops - to all disciplines who need to ask questions to develop better product/experiences/services
1,1.5,usability specialist,researcher,In-house private sector,40,"1,001+",Progressing,improving the usability of employee's portal in an organisation. supporting the team with user tests,No,Yes,Yes,Yes,"understanding the employees of the organisation, to help their development within the organisation.",training/supporting,304,403,102,404,604,605,,3,3,2,4,2,1,1,1,2,2,3,3,2,getting the stakeholders on-board. increasing time and budget for projects. getting the right users to interview.,"stakeholder & expectation mgt,trust/buy-in,participant recruitment,budget,time","improving my soft-skills, communicating and facilitating. learning the craft better","soft skills,communication/storytelling,learning/mentors ",share more often. be structured in thought processes,"communication/storytelling,misc","maybe explain in the beginning of the workshop, what the workshop is meant for, and its use to the participants"
7,1,user researcher,researcher,Agency,3,21–50,Early,strategic/discovery research for clients,Yes,No,No,Yes,"managing people, more quant research, clab w/ data scientists","lead/manager role,methods practice/skills,scaling/expanding the scope,quant skils",507,610,109,610,305,307,"people's skills were very related to the company structure (i.e. whether they have their shit figured out)...not necessarily ""my"" skills",4,4,5,3,5,4,5,4,3,4,4,5,3,having a seat at the strategic tables,strategy,"being in-house, more product focus",integration into product dev cycle,people skills 4 effective collaboration + buy in,"collaboration,soft skills",
2,2,Project manager,other,Freelance,0,1,None,transforming/managing change in large organisations. Leading SAP projects and other system implementation.,No,Self-employed,Self-employed,Yes,to understand what exactly a UX expert does and how to become one,"Transition to UX,expanding professional horizon",310,603,308,304,307,208,,5,1,1,1,4,5,2,2,1,2,4,1,2,I have some of the basic skills but have no formal trining or coching and I do not know which skills are missing.,"learning/mentors,methods practice/skills,creative confidence",learning the basics of the terms I did not understand on the skills assessment,"learning/mentors ,misc",Look up the definition of coach,learning/mentors,
3,0.5,Product Design Lead,designer,In-house private sector,0,101–500,Progressing,"End-to-end human centered design, evangelizing around UX design & research, growing design as a function",No,No,No,Yes,"Research as ongoing process, research data as foundation for decisions","(product) impact/actionable insight,Evangelize research",301,109,310,204,306,610,,4,4,4,4,4,4,4,3,3,4,5,4,2,time,time,"connect research and crossfunctional team, better process","collaboration,Ops/scaling",involve more people into research,building up research/team,
7,3,Product Manager,other,In-house private sector,0,101–500,Progressing,"rebooting native apps at ricardo.ch, working with UXR to understand users and validate",No,No,Yes,No,,,504,310,610,102,103,109,,5,5,4,5,5,5,3,2,4,4,4,3,4,to have it happen ar the right moment in the product development process,integration into product dev cycle,run semi-structured tests,"tests/experiments,quantitative methods",,,
1.5,0.5,User Research and test manager,researcher,Agency,4,21–50,Laggard,"I'm part of concept developing and evaluation, at the same time it's usability testings, quantitative research close to market research as well as consulting, presentations, ...",Yes,No,No,Yes,"I want to work fully as researcher a while ago my dream was to work as game researcher, but I'm not totally sure anymore :-)",Transition to UX,601,607,403,302,310,604,,2,4,4,4,4,3,2,2,3,2,2,3,2,"being as fast as the rest of the team (design, PM, sales/marketing), balance between Academics and Applied Research, communicate with the design","time,integration into product dev cycle,collaboration",Stay in contact wit colleagues ;) discuss and exchange gives a good feeling! Finding right presentation of findings,"exchange/networking,communication/storytelling,quote",Finish my HR report with suggestions and some mapping insights - designdecisions. And clarify the Junior/mid-level role with the rest of my team,"mindfulness/reflection,misc,role finding",Thank you! I really feel welcomed and it's great to meet other UXR in a safe place!!!
3,0.5,UX-researcher,researcher,Agency,3,21–50,Mature,"interviews, contextual inquiries, expert reviews, user testing support designers in concept phase",No,No,Yes,No,,,302,207,601,302,203,102,,3,5,4,3,4,3,3,4,3,4,4,2,3,"Recruiting without TestingTime (=rare user group), time constraints, produce usable insights/reports","participant recruitment,time,(product) impact/actionable insight","Contextual inquiries, designing research reports that are more accessible ans easier to write","communication/storytelling,qualitative methods","keep on collecting experience :-) try out new (to me) methods, extend methods set",method practice/skills,
1,,UX-Researcher (currently searching for a job - answers refer to last position),researcher,Agency,2,11–20,Progressing,I conducted User Research using qualitative methods. Provided help in end-to-end design research from concept testing to product design deliverables.,No,No,No,Yes,To estalish a successful UX Research career,"learning/mentors,researcher role development",301,101,103,306,406,401,,3,3,3,4,3,4,3,4,3,3,5,3,5,"having to do design aspects, such as wireframes and prototypes","time,focus on research",Gaining proficiency in designing tools,"methods practice/skills,misc",Do online courses,(UX) course,
4,0,UX Researcher,researcher,In-house private sector,1,101–500,Early,Mostly qualitative research for our App,Yes,No,No,Yes,"setring up a research framework: finding the right method, preparing, documenting, analysing, sharing results",rigour/standards,501,302,103,606,602,408,,4,3,4,2,3,4,2,2,3,3,4,2,4,Be involved at the right time to run a study,integration into product dev cycle,"Framework for planning, executing, synthetising, sharing and storying insights",communication/storytelling,start a new job,new job/role,
4,0.5,Business Analyst,other,In-house private sector,0,11–20,Early,"user reserch, competitor, build KPI",No,No,No,Yes,UX courses,"learning/mentors,methods practice/skills",201,208,204,102,110,108,,4,1,1,3,3,3,4,1,2,2,4,2,4,Get feedback from the findings,misc,"UX Research, analysing people",misc,adjust my CV,"misc,communication/storytelling","Nice event, please repeat again "
3.5,10,UX Designer,designer,In-house private sector,0,"1,001+",Early,"Working accros different UX disciplines, including research design",No,Yes,No,Yes,,,610,602,501,503,307,605,Research vs. requirement engineering,4,4,3,3,3,4,3,3,3,4,4,2,2,"Knowing that research will bring insights that the business (PM, support, sales? does not already know (example coming from a mature industry and product)","trust/buy-in,evangelize research / value","Quantitative topics (setting benchmarks for products), synthetising results",quantitative methods,Enroll in UX research course and apply learnings to current research projects,(UX) course,
,11,UX Deisgner,designer,In-house private sector,0,"1,001+",I'm not sure,"Just started as a UX Designer for field devices, means actual physical product in heating building area",No,Yes,Yes,I'm not sure,What I want to is make sure my current process is good enough and back it up,"learning/mentors,methods practice/skills",502,403,604,301,201,307,,3,1,1,3,2,4,3,1,2,2,1,1,2,Having the confidence/education /tools of what I'm doing. Be confident and prepare better for it,creative confidence,"Research/Pychology/ before there is a need, so that I can anticipate them n
and be prepared. Have a vast knowledge","learning/mentors ,misc","Investigate, talk to people, understanding, get curious, get involved","exchange/networking,misc,quote","Thank you, perhaps also human feature like ""learning to adapt"" :)"
6,6,User Researcher,researcher,In-house private sector,4,"1,001+",Early,"Interviews, UX Lab (face reader, eye tracking, ...), getting stakeholders on board",No,Yes,Yes,Yes,"Selling research beyond the average report, opening up to new ways to do research","methods practice/skills,research as a service,scaling/expanding the scope",,,,,,,,,,,,,,,,,,,,,,,,,,,
7.5,,not working at the moment - used to work in academics,other,,,,,"From what I know of UX Research, the structure closely resembles that of research in academia, specifically prelimiary research, pilot studies, same analysis (implementation, analysis, etc.)",No,,,,,,,,,,,,Communication with designers,,,,,,,,,,,,,,"Communication with designers, synthesizing business needs succinctly","collaboration,incorporate product/biz thinking,creative confidence","the various ""hats"" UX Researchers need in their role","misc,quote","Familiarise myself with the terminology, connect with people I have just met","exchange/networking,misc",It is great to hear that other people share similar frustrations - it provides validation
3,2,User experience designer,designer,In-house private sector,0,"1,001+",Progressing,"I work alongside publishers, developers and others to develop web (and associated) content for teachers and school pupils. (Note from facilitator: Answer to ResearchOps Q below refers to market, not user research).",No,Yes,Yes,I'm not sure,,,305,102,607,104,108,407,,3,4,3,3,3,3,3,2,2,2,4,2,3,Finding users to speak to. Making sure I have created a valid and broad enough test. Making sure we are not narrowing in on the solution too early on.,"participant recruitment,creative confidence",Running a sense making workshop.,"workshops/design sprints,misc,generative/expl research","Thinking more about how to share the results of research more widely, more consistently.","Evangelize value,rigour/standards",
3.5,0.5,UX Design Lead,designer,In-house private sector,0,101–500,Early,"Working on a mix of websites, applications and portals. I'm their first UX designer in the company, so there's education work, trying to get involved at the right time and general [sic] mature the user-centred process.",No,No,No,Yes,Mature the UX process more mature and more consistent where I work. Show enough value to show the value and need for more designers/researchers. Build better evidence-driven products/websites etc.,"rigour/standards,Evangelize research",102,610,113,306,404,605,,1,2,3,1,3,2,3,2,3,3,3,3,2,Getting buy in from stakeholders. Getting a clear strategy and approach with a product vision. MAKING CHANGE HAPPEN!,"trust/buy-in,strategy,creative confidence,longitudinal impact of research","More data better input on why we're doing something. Designing better products. Happy users, proven worth.","strategy,quantitative methods,impact/actionable insight,training/supporting","Leadership influence, change course or training ","(product) impact/actionable insight,learning/mentors","Facilitator comment re Human skills. Numbers entered above are marked as ""in work"". Scores for a separate column labelled ""on own"" i.e. out of current context/in a more optimal setting are as follows: 
Bus Strat and insight: 4; 
Adjacent disciplines & delivery 4; 
Org diplomacy 4; 
Service conceptual understanding 4; 
Stakeholder mgmt/comm 3; 
Project management/ownership 3;
Research process mgmt 3; 
ResearchOps prowess 3; 
Tech research prowess 4;
 Persuasion & storytelling 3; 
Interpersonal relationships 3; 
Professional relationships 4; 
Mindful work and reflection 2"
3,2,Head of Customer Success,other,In-house private sector,2,21–50,Progressing,"I listen to customers and users to prioritise the development of our products, taking into account available tech, solutions available etc",No,No,Yes,Yes,"Simplifying access to space, trying to develop and improve a set of tools and platforms both hardware and software that ease all kind of space tech and applications development.","(product) impact/actionable insight,rigour/standards",610,308,505,113,208,,Implement/execute solutions,4,3,2,4,3,3,2,2,3,4,4,4,4,Implementing and executing solutions,"(product) impact/actionable insight,longitudinal impact of research",Managing a team and resources towards a goal and succeed on it. [sic],lead/manager role,Take more awareness of the situation and manage the team better with conscious decisions.,"mindfulness/reflection,lead/manager role,mentoring others",Keeping the balance is good.
3,0.5,Production Editors,other,In-house private sector,,"1,001+",Progressing,"I work on p editorial products and, as an editor, I need to use UX and work with UX designers to deliver ____ products and optimise them for users.",No,Yes,No,No,,,113,504,610,501,312,610,,3,4,2,4,4,3,2,2,3,2,3,3,2,Channel information requirements coming from research into product requirements/scoping,integration into product dev cycle,I would like to work on product scoping,generative/expl research,"I would like to move to a role that's working on scoping, rather than testing","Generative/expl research,new job/role",Facilitator note: I cannot make out a word for Q on type of work done right now: looks like ohp.te or ohptel products
0.5,0.5,Digital Assistant,other,In-house private sector,,"1,001+",Progressing,I'm a Digital Assistant undertaking support tasks for the Digital Operations Department among which user experience and testing from a user's perspective.,No,Yes,,,,,607,112,103,403,301,101,,3,3,1,4,4,3,2,2,3,3,4,3,3,Working in a big organisation and with many stakeholders (internal and external) makes it hard to have a clear connection between what users need and what the company delivers.,"stakeholder & expectation mgt,internal,external",Organising and participating in product development and planning.,integration into product dev cycle,,,
1,1,Data Analyst (fair to say the role has shifted somewhat),other,In-house private sector,0,11–20,Early,"Interviewing customers, conducting and writing up case studies, running surveys of churned customers",No,Yes,No,I'm not sure,I like to be in product (owner) so building up my UX and UR skills is important.,"learning/mentors,expanding professional horizon",502,204,601,102,106,102,,4,3,5,5,3,2,3,3,4,4,3,1,4,Synthesising insights and pitching these through the organisation to development,"communication/storytelling,(product) impact/actionable insight",I want to build a focus group/advisory council and see a project through to completion using them,"build lab,impact/actionable insight",More hands on experience with user interviews and synthesis of them,"method practice/skills,interviewing,analysis","Sounds like I'm lucky to have such direct access to users, working at a startup?"
5,0.5,Project manager/product owner,other,In-house private sector,10,"1,001+",Progressing,"Managing projects responding to user requirements, organising process around gathering, visualising, centralising user research",No,No,Yes,No,,,504,601,506,610,408,113,,4,3,3,4,5,5,2,3,4,3,4,2,4,no direct access to users,participant recruitment,quick prototyping to guide user discussions,misc,"understand more strategy how to influence it, how to translate it into engaging products","strategy,(product) impact/actionable insight",who should be doing UX research: sales? marketing? designers? product managers?
23,1,UX/UI Designer,designer,In-house private sector,0,11–20,Progressing,UX/UI design for SAAS company,No,No,No,No,,,103,503,601,301,103,601,,4,4,3,4,4,4,4,3,4,4,4,3,3,time pressures from business and agile development,time,rapid prototyping and associated test cycle,"misc,usability",more engagement with users/customers,"misc,closer to customers",organisational culture & C-suite sponsorship of user-centred design practices is very important for embedding research and its importance
2,4,ALM PRACTICE CHAMPION,other,In-house private sector,70,"1,001+",Progressing,,No,Yes,Yes,No,,,302,104,604,403,405,,,4,4,2,1,3,4,1,1,2,2,4,4,3,Getting all parts of organisation to adapt,stakeholder & expectation mgt,User research skills,learning/mentors,Doing one research task,prioritisation,
2,,Consultant,other,Freelance,0,1,Early,"As a consultant, I offer a range of services. In the user research space, I plan user research campaigns, agree the brief, recruit users, interview users, chart their behaviour and motivations and write and report with product / strategy recommendations. I also conduct in person and remote user testing of prototypes.",Yes,Self-employed,Self-employed,No,,,301,206,601,610,607,208,,4,3,3,4,4,5,2,2,3,4,4,2,3,"Shining the surface of the discipline, working in a lean way without solid foundation","rigour/standards,misc",creating my lean user research proposition with clarity on what it is and what it isn't,mindfulness/reflection,writing a service offer,research brief/requirements,My career is so broad! I'm never going to specialise - I need to be clear on the value I offer and when I need to bring in expertise
1,4,Account manager,other,Agency,10,"1,001+",Progressing,,No,Yes,Yes,,"Studying, interviews, technic [sic] and UX Basic - organising cross-functional and freelance projects to start my career.","Transition to UX,methods practice/skills,learning/mentors",508,304,101,201,403,408,,4,1,2,4,5,5,5,4,5,5,4,5,4,focus/ find/build a project,misc,all the techniques studied,methods practice/skills,,,
20,20,Principal Consultant,other,Freelance,1,2–10,,"Mix of research and design, mostly physical products",No,Self-employed,Self-employed,No,,,113,103,207,403,408,409,,4,3,4,5,3,2,4,3,5,4,2,3,2,Time and buy in for the work,"trust/buy-in,time","further digital research, not just physical products","new tech,misc","reflect on what I've done, what I want to do next and how I might achieve this",mindfulness/reflection,concern with roles and names of role in digital
15,0,User researcher,researcher,In-house private sector,1,"1,001+",Laggard,At this moment I'm conducting an audit of their research activities,No,Self-employed,No,I'm not sure,,,503,604,610,111,110,402,,2,2,1,2,3,2,3,1,2,1,2,2,3,Convincing stakeholders to take findings on board,"stakeholder & expectation mgt,communication/storytelling,(product) impact/actionable insight",Longer studies. Enabling others to research.,"training/supporting,time,misc",Get closer to the business.,incorporate product/biz thinking,
10,1,User researcher,researcher,Public sector,10,"501–1,000",Mature,Challenging! User research with professional groups  and citizens and HMCTS,Yes,Self-employed,No,I'm not sure,The end of my contract,misc,501,301,601,405,604,111,,4,2,3,4,2,4,5,5,4,4,4,3,3,Organisational ones!,internal,Would like to do more design research,methods practice/skills,Leave my current contract!,new job/role,Not generally good at self-reflection but this was fun!
7,2,Managing Director/UX Consultant,designer,Agency,1,2–10,Mature,"UX strategy, business development",Yes,No,No,No,,,604,301,311,610,504,507,,5,5,5,5,4,4,5,4,3,3,5,4,3,User recruitment (clients finding users),participant recruitment,Business/UX Strategy,"strategy,incorporate product/biz thinking",Learn more about product strategy and market fit,"strategy,incorporate product/biz thinking",
8,0.1,Lead UX Researcher,researcher,In-house private sector,22,"501–1,000",Progressing,"Making our product more user-centric by understanding their decision-making , needs and goals",No,Yes,Yes,I'm not sure,Finding my place in a big company and being useful,"employment relationship,(product) impact/actionable insight",501,301,109,504,310,609,,3,3,2,3,2,3,4,3,2,2,5,3,3,"Prioritising things to do and communicating research needs, process & results","prioritisation,communication/storytelling",Influencing product design and seeing the impact among users.,"impact/actionable insight,integration into product dev cycle",Model user needs for wider org,scaling/expanding the scope,
3,1.5,Lead UX designer,researcher,Agency,4,11–20,Mature,"interaction design, leading small design teams, doing research here and there",No,Yes,No,No,"I'm currently focussing on being a lead designer, but always interested in learning more about research & improving my skills","learning/mentors,expanding professional horizon",604,407,310,506,603,602,,4,3,4,4,2,3,4,3,4,4,3,2,2,"feeling confident about my skills & knowledge, connecting people and research findings and evangelize the importance of research","creative confidence,collaboration,evangelize research / value",getting more experienced & knowledgeable,methods practice/skills,"trying out research methods that are new to me, reaching out to more people","learning/mentors,exchange/networking,method practice/skills",
3,2,anthropologist,other,Freelance,0,1,None,"analysing qualitative data and coding, experimenting how to communicate the real atmosphere after a fieldwork and trying to build equal narratives",,No,Self-employed,I'm not sure,,,204,401,601,501,601,112,,5,4,3,5,3,3,4,,3,3,5,4,2,ethical considerations and how to bring them from theory to practice,misc,"lhe intersections between research tools and results, how much the tools change the results?","misc,quote",,,
10,2,ux researcher,researcher,In-house private sector,30,"1,001+",Early,"user testing for lots of different teams, facilitating/empowering others in doing research (mostly qual, agile), and organizing/facilitating research in design thinking processes",Yes,Yes,No,No,,,602,609,102,504,604,610,,3,4,2,4,2,4,4,3,3,4,3,4,3,that what the organization requires me to do is not what I am capable of doing (and in the end gets the best results),misc,getting more involved in strategic and exploratory projects,"strategy,generative/expl research",translate research skills to scales within the company (already in progress),scaling/expanding the scope,
6,0,looking for a job,other,,0,1,,I am writing case studies and for that I need to do a lot of research,No,Self-employed,Self-employed,Yes,building my portfolio and for that i need to build some case studies,expanding professional horizon,502,101,601,202,601,506,,3,4,2,4,4,4,3,2,2,4,2,2,3,discipline and motivation,misc,ethical design,inclusive design/resp tech,reading more related articles and study the subject,learning/mentors,
4,3.5,ux researcher,researcher,Agency,5,11–20,Mature,discovery research/ usability research. foundational and directional research,Yes,Yes,Yes,Yes,Research quality of the team and €x on the end of the year (financial goal),rigour/standards,305,604,302,610,609,305,,4,4,3,,4,3,3,4,4,3,3,3,2,get enough time to surprise with a 9+,misc,coach/lead skills and research manager,lead/manager role,grow the ux research team,scaling/expanding the scope,
0,0,user research,researcher,In-house private sector,3,"1,001+",I'm not sure,"I will be doing user research, see how users use the various softwares and tools, preferably in their normal context",No,Yes,,Yes,getting familiar with the organization and be confident enough to show your expertise to others and show its importance to others in the organization,"Evangelize research,learning/mentors",501,105,201,604,609,506,,3,4,3,4,3,2,3,2,2,2,2,2,3,"to trust my own knowledge and expertise, be confident in what you do and the results you get",creative confidence,"i started my new job this week, so I want to explore all the projects, to learn about the tools the others researchers use. And be aware what ""craft skills"" you're already using, it's more than you think ;)",methods practice/skills,"be open-minded, eager to learn and also learn from fellow researchers (both in and outside the company)","learning/mentors,exchange/networking",
0.5,0.1,ux researcher,researcher,Public sector,7,101–500,Mature,analyzing and researching experience behind sharing information between organisation,No,No,,Yes,"to become a more senior researcher, having more experience in conducting research","learning/mentors,researcher role development",601,204,102,301,109,405,,3,2,4,4,2,3,2,3,4,3,3,2,4,That I am the only ux researcher in the company. So the others don't really know what I am doing and cannot give me feedback about ux,"research team of one,evangelize research / value",how I can conduct research in a bigger team together with ux seniors & specialists,"Ops/scaling,collaboration",talk and approach more senior ux researchers and get to know more about their experiences and how they approach certain project,"learning/mentors,exchange/networking",
3,2,ux researcher,researcher,In-house private sector,10,"1,001+",Mature,"helping designers, PO-ers etc. get answers to make decisions. exploring, validating, etc.",No,No,,Yes,coordinating instead of only conducting research,lead/manager role,502,301,601,504,507,603,,4,4,3,5,3,3,4,3,4,4,4,3,3,"Being the only ux/design researcher within the company, which makes that you have to learn fast & much in craft AND people skills (stakeholder management)","research team of one,stakeholder & expectation mgt,methods practice/skills",growing and learning the craft but also how to manage the stakeholder part,"learning/mentors ,stakeholder & expectation mngt",coordinate so i have time to make more impact on certain projects by being more involved,"(product) impact/actionable insight,prioritisation,project management/ownership",
10,2,ux specialist,designer,In-house private sector,0,101–500,None,"[describing last jos as UX, currently unemployed] I'd tried to understand users and their professional lives and improve their professional routine",On Waitlist,No,No,Yes,I'm working on getting a job as UX researcher & research related,Transition to UX,502,504,604,301,303,101,,3,4,4,4,4,4,5,5,4,5,3,3,3,Convince the company that it is important to know the client/user,"trust/buy-in,evangelize research / value",I'm excited to improve my skills as a researcher,methods practice/skills,learning more about research operations,"learning/mentors,ResearchOps",
4,4,Design Researcher - Mobile Banking,researcher,In-house private sector,8,"1,001+",Progressing,"Qual and quant customer research. Planning research. Combining research methods. Executing research. Analysis, synthesis and reporting. Mentoring",,,,Yes,Leading teams of researchers,"lead/manager role,training/supporting,researcher role development",,,,,,,,,,,,,,,,,,,,,Working with designers who do research but do a half-assed job.,"rigour/standards,collaboration",Prospects of design researchers working closely with business strategists,incorporate product/biz thinking,Take mindful and concrete steps to improve my networking skills.,exchange/networking,
10,1,Senior UX Design Researcher,researcher,In-house private sector,4,"501–1,000",Early,"Customer testing, ethnographic discovery research, stakeholder management, strategic research influence.",No,Yes,No,Yes,Lead UX - project and staff management,"lead/manager role,training/supporting",505,606,610,505,311,608,"Research project management, team leading, quant modelling, integrating quant, qual and different data sources, stats",3,5,2,4,4,2,5,4,5,3,4,3,3,getting my team to consult me early enough to be effedtive,integration into product dev cycle,"data/quant analytics - not excited, fatigued!",quantitative methods,google analytics training,ROI,It seems to be a balance between getting any research done and trying to develop specialist skills
7,2,Senior Design Researcher,researcher,In-house private sector,4,"1,001+",Progressing,"Exploratory, qual research followed by ideation, prototyping, and testing",Yes,No,No,Yes,More of a strategic role and upskill in research ops,"strategy,rigour/standards,learning/mentors,ops/scaling",102,204,603,505,602,401,,4,3,4,5,4,5,4,3,4,4,3,3,4,Lack of buy-in. 'Competing work' from other teams or leaders with an agenda; lack of visibility of overarching company issues and strategies,"trust/buy-in,collaboration,strategy",Employing behavioural science to explore how we can actually change behaviour; Combining more quant mixed methods,"mixed methods,misc","Education and training, looking for mentors, running personal experiments","learning/mentors,mindfulness/reflection","The problem is limited time and energy - we are pulled in every direction, expected to be practitioners, leaders and mentors, operationalise processes and systems; network across the organisation... it's exhausting."
1,0,Actively looking,other,,,,,Actively looking for Ux research roles - lots of reading and understanding the space,Yes,Self-employed,Self-employed,Yes,Getting a proper ux research role,Transition to UX,507,206,103,507,601,310,,2,3,3,3,2,1,2,2,2,1,2,2,3,Getting someone to take me on as a UX Researcher (not a UX Designer who does some research),focus on research,"Bridging the language of recruiters with reframing my skills in those areas. It's not the actual doing that is the issue, it is getting in.",misc,Communicate more widely,communication/storytelling,
8,2,UX Consultant,designer,Agency,0,2–10,Mature,"Consultancy for UX and service design projects (prototyping, workshop facilitating, user testing, field research, etc)",Yes,No,Yes,Yes,Leadership and running a team. Mentoring and tutoring others. Organisational strategy and focusing on knowledge of ResearchOps.,"lead/manager role,strategy,scaling/expanding the scope,ops/scaling",301,601,610,602,204,610,,3,4,4,4,4,3,4,3,4,4,3,4,3,"Getting budget to deliver back activities in an impactful way. Liaising with sales and getting them to focus on the time needed to deliver quality, rather than speed!","(product) impact/actionable insight,time",Leadership roles and coaching of junior members of the team. Creating an internal skills framework to be used by UX staff.,"lead/manager role,rigour/standards",Workshop with management/UX staff to work on a skills framework we can agree on using.,"stakeholder & expectation mngt,method practice/skills,quote",There are some researcher skills/activities listed on the 'craft' sheet that I don't understand and would like to explore/learn.
